Entidad,Partido,Gobernador,Periodo Inicio,Periodo Fin,URL de foto,Twitter
Guerrero,PRD,Zeferino Torreblanca Galindo ,2005-04-01,2011-03-31,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/ZTG1.jpg/220px-ZTG1.jpg,
Guerrero,PRD,Ángel Aguirre Rivero ,2011-04-01,2014-10-26,http://image.vanguardia.com.mx/sites/default/files/aguirre-rivero-aun-no-envia-su-licencia-al-congreso_3b472.jpg,
Guerrero,PRD,Rogelio Ortega Martínez ,2014-10-26,2015-10-26,http://www.laizquierdadiario.com/IMG/jpg/rogelioortegaefe.jpg,
Guerrero,PRI,Héctor Astudillo Flores ,2015-10-27,,http://www.redpolitica.mx/sites/default/files/hector_astudillo_0.jpg?1426024263,
Hidalgo,PRI,Adolfo Lugo Verduzco ,1987-04-01,1993-03-31,http://altoromexico.com/cmsimgnoticias/foto_noticia13264.jpg,
Hidalgo,PRI,Jesús Murillo Karam ,1993-04-01,1998-10-28,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Jes%C3%BAs_Murillo_Karam.jpg/220px-Jes%C3%BAs_Murillo_Karam.jpg,
Hidalgo,PRI,Humberto Lugo Gil ,1998-10-28,1999-03-31,https://joelsan.files.wordpress.com/2013/05/humberto-lugo-gil.jpg,
Hidalgo,PRI,Miguel Ángel Núñez Soto ,1999-04-01,2005-03-31,http://eleconomista.com.mx/files/imagecache/eco2014_650x433/files/portada-manuel-angel-nunez-hs.jpg,
Hidalgo,PRI,Miguel Ángel Osorio Chong ,2005-04-01,2011-03-31,https://upload.wikimedia.org/wikipedia/commons/1/13/Osorio_Chong.jpg,
Hidalgo,PRI,Francisco Olvera Ruiz ,2011-04-01,,https://upload.wikimedia.org/wikipedia/commons/5/56/Jos%C3%A9_Francisco_Olvera_Ruiz_2013.jpg,
Jalisco,PRI,Carlos Rivera Aceves ,1992-05-01,1995-02-28,http://concienciapublica.com.mx/wp-content/uploads/2012/07/Carlos-Rivera-Aceves-2.png,
