ENTIDAD,ACREDITADO 2/,ACREEDOR 3/,TIPO DE OBLIGACIÓN 4/,FECHA DE FIRMA 5/,FECHA DE INSCRIPCIÓN 6/,MONTO ORIGINAL CONTRATADO 7/,SALDO AL 30 DE JUNIO DE 2015 8/,PLAZO PACTADO (MESES) 9/,FUENTE O GARANTÍA DE PAGO 10/,DESTINO 11/
HIDALGO,ATOTONILCO EL GRANDE,INSTITUTO PARA EL FINANCIAMIENTO DEL ESTADO DE HIDALGO,CRÉDITO SIMPLE,04/02/2012,06/04/2012,4965352.7,1557789.49,51,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,YAHUALICA,INSTITUTO PARA EL FINANCIAMIENTO DEL ESTADO DE HIDALGO,CRÉDITO SIMPLE,04/02/2012,06/04/2012,3717925,1166431.61495052,51,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,TLAXCOAPAN,INSTITUTO PARA EL FINANCIAMIENTO DEL ESTADO DE HIDALGO,CRÉDITO SIMPLE,04/02/2012,06/04/2012,6424739,2015645.44,51,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,TEPEAPULCO,INSTITUTO PARA EL FINANCIAMIENTO DEL ESTADO DE HIDALGO,CRÉDITO SIMPLE,04/02/2012,06/04/2012,11955995,3750964.26,51,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,HUEHUETLA,INSTITUTO PARA EL FINANCIAMIENTO DEL ESTADO DE HIDALGO,CRÉDITO SIMPLE,04/02/2012,06/04/2012,2880402,903673.92,51,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,CALNALI,INSTITUTO PARA EL FINANCIAMIENTO DEL ESTADO DE HIDALGO,CRÉDITO SIMPLE,04/02/2012,06/04/2012,3085515,968024.43,51,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
HIDALGO,XOCHICOATLÁN,INSTITUTO PARA EL FINANCIAMIENTO DEL ESTADO DE HIDALGO,CRÉDITO SIMPLE,04/02/2012,06/04/2012,1610517,505270.51,51,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,ATENGUILLO,BANOBRAS,CRÉDITO SIMPLE,06/04/2012,06/05/2012,3500000,0,120,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,ACATIC,BANOBRAS,CRÉDITO SIMPLE,04/20/2012,06/07/2012,3200000,1280000.12,60,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
JALISCO,COCULA,BANOBRAS,CRÉDITO SIMPLE,03/02/2012,06/07/2012,10400000,0,180,PARTICIPACIONES FEDERALES,INVERSIÓN PÚBLICA PRODUCTIVA
MÉXICO,GOBIERNO DEL ESTADO,BANOBRAS,CRÉDITO SIMPLE,06/06/2012,06/07/2012,3017550407.62,0,240,PARTICIPACIONES FEDERALES/BONO CUPÓN CERO FEDERAL,INVERSIÓN PÚBLICA PRODUCTIVA
